name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
# 7.5 Stopper drilled,774230V,1.75,Homebrew,,product,product,15
"#10 Stopper, Drilled",4980539,3.49,Homebrew,,product,product,8
"#10 Stopper, Solid",632432759142,3.49,Homebrew,,product,product,4
#2 Filter Pad (Large),1671934,6.0,Homebrew,,product,product,4
#3 Filter Pad (Large),905050C,6.0,Homebrew,The #3 Filter Pad (Large) is the perfect choice for home bre,product,product,9
"#5.5 Stopper, Drilled",H287200,1.25,Homebrew,,product,product,0
"#6 Stopper, Solid",5404256,1.25,Homebrew,,product,product,2
"#6.5 Stopper, Drilled",632432759159,1.25,Homebrew,,product,product,8
"#6.5 Stopper, Solid",4027138,1.25,Homebrew,,product,product,0
"#7 Stopper, Drilled",213080Y,1.49,Homebrew,,product,product,15
"#7 Stopper, Solid",5827564,1.49,Homebrew,"The #7 Stopper, Solid, is a must-have for homebrewers. With",product,product,0
"#8.5 Stopper, Drilled",R425909,2.49,Homebrew,,product,product,0
1 Gal Jug Clear,622711000362,8.99,Homebrew,,product,product,0
"1.5"" Tri-Clamp",6249287,14.99,Homebrew,,product,product,4
"1.5"" Tri-Clamp Clamp",N963461,6.99,Homebrew,,product,product,0
"1.5"" Tri-Clamp Gasket",Z487939,1.49,Homebrew,,product,product,0
"1.5"" Tri-Clamp Thermwell",561596B,24.0,Homebrew,,product,product,0
"1.5"" Tri-Clamp x 1/2"" Barb",955763S,15.99,Homebrew,,product,product,0
"1.5"" Tri-Clamp x 1/2"" MPT",426500D,14.99,Homebrew,,product,product,0
"1.5"" Tri-Clamp x 3/4"" Barb",G208783,18.0,Homebrew,,product,product,0
"1.5"" Tric-Clamp x 1/2"" FPT",9868230,14.99,Homebrew,,product,product,0
"1.5"" Tric-Clamp x 3/8"" MPT",717605Q,14.99,Homebrew,,product,product,0
1/2 Gallon Glass,5350370,3.99,Homebrew,,product,product,16
"1/2"" MPT Oxygen Stone, 2 Micron",8814609,14.99,Homebrew,,product,product,1
"1/2"" OD, 3/8” ID High temp Silicone Hose",8950507,1.0,Homebrew,,product,product,0
"1/2” OD, 3/8"" ID Siphon Hose",591753Z,0.85,Homebrew,,product,product,0
"1/2"" Silicone Washer",3210941,1.5,Homebrew,,product,product,0
10” Plastic Hydrometer Testing Jar,8530396,4.99,Homebrew,,product,product,1
10” x 23” Nylon Straining Bag Small Coarse,888690047228,4.99,Homebrew,,product,product,0
"10” x 23” Small Nylon Straining Bag, Fine",888690047242,6.49,Homebrew,,product,product,0
12” Plastic Hydrometer Test Jar One-Piece,825392009208,4.99,Homebrew,,product,product,0
